"Constant dollar food and alcohol expenditures, without taxes and tips, for all purchasers",Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers Without Taxes and Tips
[Millions of dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)]
Year,Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Total FAH,Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Total FAFH,Alcohol at home (AAH),Alcohol at home (AAH),Alcohol at home (AAH),Total AAH,Alcohol away from home (AAFH),Alcohol away from home (AAFH),Alcohol away from home (AAFH),Total AAFH
Year,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Home production and donations,Total FAH,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Food furnished and donated,Total FAFH,Sales,Sales,Sales,Total AAH,Sales,Sales,Sales,Total AAFH
Year,Grocery stores,Convenience stores,Other food stores,Warehouse clubs and supercenters,Mass merchandisers,Other stores and foodservice,Mail order and home delivery,"Direct selling by farmers, manufacturers and wholesalers",Home production and donations,Total FAH,Full-service restaurants,Limited-service restaurants,Drinking places,Hotels and motels,Retail stores and vending,Recreational places,Schools and colleges,"Other FAFH sales, NEC",Food furnished and donated,Total FAFH,Liquor stores,Food stores,"Other AAH sales, NEC",Total AAH,Eating and drinking places,Hotels and motels,"Other AAFH, NEC",Total AAFH
1997,"195,619.70","7,050.04","7,732.78","18,058.62","6,154.69","27,019.89","8,465.35","2,972.31",831.48,"273,904.88","77,667.22","82,020.13","1,124.34","10,315.70","9,263.11","8,105.61","22,105.21","7,806.92","17,768.55","236,176.77","15,108.13","9,773.17","11,682.60","36,563.90","18,827.53","2,378.59","2,643.54","23,849.67"
1998,"193,938.94","6,676.77","7,659.54","21,798.34","6,215.62","26,100.92","8,534.49","2,698.34",832.04,"274,455.00","78,918.13","84,631.05","1,144.76","10,709.30","9,709.83","8,386.57","22,645.68","8,179.01","17,739.05","242,063.39","15,815.84","10,065.90","11,470.82","37,352.55","19,593.15","2,452.06","2,811.54","24,856.75"
1999,"197,248.34","6,586.39","7,458.30","26,291.15","6,358.33","27,476.11","9,242.80","2,408.88",832.12,"283,902.44","80,292.55","85,564.79","1,164.61","11,658.51","10,769.03","8,680.92","22,929.49","8,689.95","17,923.97","247,673.84","16,172.71","10,519.72","11,265.64","37,958.07","20,340.86","2,644.21","2,872.49","25,857.56"
2000,"194,800.44","7,013.02","7,656.76","30,680.22","6,375.57","29,741.25","10,418.90","2,140.34",766.91,"289,593.38","83,288.38","88,188.27","1,202.15","12,807.99","12,572.59","11,363.59","23,510.21","8,561.24","17,964.11","259,458.55","16,936.96","10,808.40","11,275.46","39,020.82","21,469.05","2,875.19","2,962.30","27,306.53"
2001,"194,875.17","6,769.69","7,848.52","35,465.80","6,275.17","29,033.24","10,018.63","1,826.44",837.15,"292,949.81","84,051.73","89,115.65","1,197.02","11,948.10","13,121.71","11,541.93","24,411.29","8,603.79","17,734.59","261,725.81","17,279.48","11,257.48","10,422.24","38,959.20","21,947.67","2,646.05","2,935.43","27,529.15"
2002,"191,591.83","6,787.26","7,923.85","41,010.55","6,066.30","28,467.16","10,397.31","1,572.58",873.80,"294,690.63","85,728.38","90,473.07","1,217.37","11,479.31","13,624.49","11,723.39","25,651.06","8,554.79","17,433.93","265,885.81","17,138.63","11,410.51","9,478.75","38,027.89","22,762.88","2,511.46","2,956.45","28,230.79"
2003,"191,713.09","6,170.11","8,129.26","46,214.79","6,075.68","29,485.81","10,477.15","1,653.15",873.57,"300,792.59","88,599.89","94,383.83","1,343.22","11,066.74","13,943.22","12,023.67","26,496.48","9,063.50","17,564.61","274,485.16","17,319.79","11,282.67","10,031.51","38,633.97","22,887.69","2,448.80","3,023.54","28,360.04"
2004,"190,339.47","5,886.63","8,359.15","50,763.50","6,272.43","30,966.02","10,498.00","1,688.11",889.70,"305,663.03","92,049.56","99,088.18","1,413.36","11,138.67","14,618.39","12,270.15","27,180.89","9,392.92","17,951.54","285,103.66","18,017.69","11,274.90","10,891.37","40,183.96","22,733.14","2,499.41","3,070.47","28,303.02"
