"Constant dollar food and alcohol expenditures, with taxes and tips, for all purchasers",Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips,Constant Dollar Food Expenditures For All Purchasers With Taxes and Tips
[Millions of dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)],[Millions of Dollars (1988=100)]
Year,Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Food at home (FAH),Total FAH,Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Food away from home (FAFH),Total FAFH,Alcohol at home (AAH),Alcohol at home (AAH),Alcohol at home (AAH),Total AAH,Alcohol away from home (AAFH),Alcohol away from home (AAFH),Alcohol away from home (AAFH),Total AAFH
Year,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Home production and donations,Total FAH,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Food furnished and donated,Total FAFH,Sales,Sales,Sales,Total AAH,Sales,Sales,Sales,Total AAFH
Year,Grocery stores,Convenience stores,Other food stores,Warehouse clubs and supercenters,Mass merchandisers,Other stores and foodservice,Mail order and home delivery,"Direct selling by farmers, manufacturers and wholesalers",Home production and donations,Total FAH,Full-service restaurants,Limited-service restaurants,Drinking places,Hotels and motels,Retail stores and vending,Recreational places,Schools and colleges,"Other FAFH sales, NEC",Food furnished and donated,Total FAFH,Liquor stores,Food stores,"Other AAH sales, NEC",Total AAH,Eating and drinking places,Hotels and motels,"Other AAFH, NEC",Total AAFH
1997,"199,832.86","7,201.88","7,899.33","18,447.56","6,287.24","27,546.31","8,647.68","3,036.32",831.48,"279,730.69","93,701.13","87,200.66","1,364.00","12,514.61","9,848.18","8,745.38","22,105.21","8,295.29","17,768.55","261,543.00","16,102.52","10,416.42","12,451.53","38,970.46","22,814.35","2,891.07","2,850.81","28,556.23"
1998,"198,052.70","6,818.39","7,822.01","22,260.71","6,347.46","26,599.86","8,715.52","2,755.57",832.04,"280,204.28","95,222.90","90,032.57","1,389.54","12,999.21","10,329.56","9,036.12","22,645.68","8,696.23","17,739.05","268,090.88","16,869.68","10,736.61","12,235.14","39,841.43","23,754.91","2,982.04","3,025.89","29,762.84"
1999,"201,516.66","6,728.91","7,619.69","26,860.07","6,495.92","28,014.85","9,442.81","2,461.01",832.12,"289,972.03","96,923.82","91,096.67","1,414.59","14,161.03","11,465.27","9,361.95","22,929.49","9,247.05","17,923.97","274,523.84","17,263.64","11,229.33","12,025.56","40,518.54","24,675.88","3,217.47","3,094.02","30,987.37"
2000,"199,080.98","7,167.12","7,825.01","31,354.38","6,515.66","30,338.06","10,647.84","2,187.37",766.91,"295,883.34","100,586.48","93,963.50","1,461.20","15,567.96","13,395.94","12,244.84","23,510.21","9,117.22","17,964.11","287,811.47","18,093.47","11,546.43","12,045.38","41,685.27","26,059.24","3,500.38","3,195.09","32,754.70"
2001,"199,334.03","6,924.58","8,028.09","36,277.29","6,418.75","29,638.42","10,247.86","1,868.23",837.15,"299,574.41","101,603.11","95,014.88","1,455.82","14,531.25","13,990.34","12,452.56","24,411.29","9,168.68","17,734.59","290,362.53","18,468.41","12,032.06","11,139.35","41,639.82","26,646.99","3,222.20","3,169.53","33,038.72"
